GSM4293169	0.5h
GSM4293170	0.5h
GSM4293171	0.5h
GSM4293172	0h
GSM4293173	0h
GSM4293174	0h
GSM4293175	01h
GSM4293176	01h
GSM4293177	01h
GSM4293178	02h
GSM4293179	02h
GSM4293180	02h
GSM4293181	03h
GSM4293182	03h
GSM4293183	03h
GSM4293184	04h
GSM4293185	04h
GSM4293186	04h
GSM4293187	05h
GSM4293188	05h
GSM4293189	05h
GSM4293190	06h
GSM4293191	06h
GSM4293192	06h
GSM4293193	07h
GSM4293194	07h
GSM4293195	07h
GSM4293196	08h
GSM4293197	08h
GSM4293198	08h
GSM4293199	10h
GSM4293200	10h
GSM4293201	10h
GSM4293202	12h
GSM4293203	12h
GSM4293204	12h
