perturbation,brunello.neg.score,brunello.neg.p.value,brunello.neg.fdr,brunello.neg.goodsgrna,brunello.neg.lfc,brunello.pos.score,brunello.pos.p.value,brunello.pos.fdr,brunello.pos.goodsgrna,brunello.pos.lfc,gecko.num,gecko.neg.score,gecko.neg.p.value,gecko.neg.fdr,gecko.neg.goodsgrna,gecko.neg.lfc,gecko.pos.score,gecko.pos.p.value,gecko.pos.fdr,gecko.pos.goodsgrna,gecko.pos.lfc
41333,0.049852,0.14954,1,4,-0.19651,0.57876,0.73224,1,1,-0.19651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41334,0.56442,0.74499,1,2,-0.022084,0.45978,0.67526,1,3,-0.022084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41335,0.30036,0.43578,1,2,-0.16958,0.61948,0.65829,1,1,-0.16958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41336,0.65278,0.67685,1,1,0.051152,0.71127,0.72165,1,1,0.051152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41337,0.48093,0.57573,1,1,0.54887,0.035772,0.090262,1,3,0.54887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41338,0.11696,0.2343,1,1,-0.18343,0.81504,0.81481,1,0,-0.18343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41339,0.74325,0.74619,1,1,0.1064,0.29789,0.43421,1,2,0.1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41340,0.37631,0.51885,1,2,-0.063479,0.87005,0.8698,1,0,-0.063479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41341,0.089687,0.1955,1,3,-0.16421,0.54402,0.61402,1,1,-0.16421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41342,0.079703,0.17673,1,3,-0.2152,0.089865,0.19591,1,1,-0.2152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41343,0.66973,0.68871,1,1,0.096412,0.34092,0.48079,1,2,0.096412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41517,0.82716,0.82698,1,0,0.31931,0.089398,0.19508,1,2,0.31931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41518,0.13984,0.25966,1,1,0.15123,0.19745,0.32549,1,2,0.15123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41519,0.15283,0.27397,1,2,-0.038864,0.72223,0.73028,1,1,-0.038864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41520,0.92727,0.92737,1,0,0.025843,0.87935,0.87926,1,0,0.025843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41521,0.70214,0.71269,1,1,0.1197,0.077889,0.17335,1,2,0.1197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41522,0.15662,0.2782,1,1,0.046969,0.17483,0.30096,1,1,0.046969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41523,0.87337,0.87352,1,0,0.90742,0.0048117,0.01329,0.549861,2,0.90742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41524,0.013844,0.042819,0.935856,1,0.10443,0.18067,0.30725,1,2,0.10443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41525,0.3642,0.50568,1,1,0.15962,0.20176,0.33019,1,2,0.15962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41526,0.2984,0.43367,1,2,0.019952,0.36589,0.50781,1,2,0.019952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41527,0.21566,0.34331,1,1,0.25799,0.034587,0.087822,1,3,0.25799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41528,0.066217,0.15074,1,3,-0.45703,0.933,0.933,1,0,-0.45703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41530,0.14226,0.26231,1,2,-0.16483,0.74935,0.75258,1,1,-0.16483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
