perturbation,Log2 fold change,FDR P value,Cell type affected,Known regulation of macrophage differentiation or CD14,References,screened_by_surdziel
PPP4R2,-1.1469,0.021235,Monocytes,Yes,"(Herzig, Bullinger et al. 2017)",not screened
USP7,-0.7008,0.049257,Monocytes,No,,not screened
HIRA,-0.96286,0.024994,Monocytes,No,,not screened
MAPK1,-0.95067,0.00099,Monocytes,Yes,"(Han, Lee et al. 1994)",not screened
NCOR2,-1.042,0.042296,Monocytes,Yes,"(Sander, Schmidt et al. 2017)",screened
NFKB1,-1.5637,0.000413,Monocytes,Yes,"(Chang, Su et al. 2013)",screened
PDHB,-0.67079,0.000413,Monocytes,No,,not screened
PRKCD,-2.46,0.000413,Monocytes,Yes,"(Su, Lin et al. 2015)",not screened
ID2,-0.71229,0.019401,Monocytes,Yes,"(Ishiguro, Spirin et al. 1996)",screened
CABIN1,-1.3418,0.005626,Monocytes,No,,not screened
PPARG,-0.64026,0.002723,Monocytes,Yes,"(Bouhlel, Derudas et al. 2007)",not screened
PTDSS1,-0.67634,0.028519,Monocytes,No,,not screened
TRERF1,-0.71158,0.000413,Monocytes,No,,not screened
DNAJB6,-1.4909,0.002475,Monocytes,Yes,"(Fagone, Di Rosa et al. 2012)",not screened
EED,-1.0447,0.00099,Monocytes,Yes,"(Graffmann, Brands et al. 2015)",screened
ELK4,-1.0846,0.002723,Monocytes,No,,not screened
PPCDC,-0.76066,0.017252,Monocytes,No,,not screened
DOT1L,-1.8135,0.000413,Monocytes,Yes,"(Daigle, Olhava et al. 2011)",screened
PPOX,-0.78907,0.01581,Monocytes,No,,not screened
GFI1,-0.98957,0.004479,Monocytes,Yes,"(Zhao, Ye et al. 2014)",not screened
NFIL3,-0.81952,0.002475,Monocytes,Yes,"(Baek, Haas et al. 2009)",not screened
CHORDC1,-1.4323,0.01581,Monocytes,No,,not screened
NONO,-0.65458,0.042296,Monocytes,No,,not screened
MEN1,-1.6276,0.000413,Monocytes,No,,not screened
OTX1,-1.1163,0.000413,Monocytes,No,,not screened
KEAP1,-0.70388,0.042296,Monocytes,No,,not screened
DET1,-0.91435,0.000413,Monocytes,No,,not screened
HDAC3,-1.8244,0.000413,Monocytes,Yes,"(Schulthess, Pandey et al. 2019)",screened
FLI1,-0.73031,0.028519,Monocytes,Yes,"(Klemsz, Maki et al. 1993)",screened
MTA2,-0.78715,0.000413,Monocytes,Yes,"(Lu, Chu et al. 2019)",screened
